"PIN","age","pickyVeg","pickyFruit","shareAmount","shareType","dollChoice"
"67",9,2,2,"1","cookie","Recipient"
"68",7,4,6,"1","cookie","Recipient"
"69",3,6,2,"1","cookie","Recipient"
"70",4,5,6,"1","cookie","Sharer"
"71",11,5,2,"1","cookie","Recipient"
"72",5,4,3,"1","cookie","Recipient"
"73",5,6,6,"1","cookie","Recipient"
"74",11,1,1,"1","cookie","Sharer"
"75",7,5,6,"1","cookie","Recipient"
"76",9,2,2,"1","cookie","Sharer"
"77",9,2,2,"1","cookie","Sharer"
"78",7,6,6,"1","cookie","Recipient"
"79",6,2,4,"1","cookie","Recipient"
"80",8,4,2,"1","cookie","Sharer"
"81",12,2,3,"1","cookie","Recipient"
"82",11,7,6,"1","cookie","Sharer"
"83",5,4,7,"1","cookie","Recipient"
"84",10,2,3,"1","cookie","Sharer"
"85",6,3,2,"1","cookie","Recipient"
"86",10,5,3,"1","cookie","Sharer"
"87",9,2,3,"1","cookie","Sharer"
"88",10,1,1,"1","cookie","Recipient"
"89",11,2,3,"1","cookie","Sharer"
"90",11,5,4,"1","cookie","Sharer"
"91",4,5,3,"1","cookie","Recipient"
"92",12,6,2,"1","cookie","Recipient"
"93",10,6,3,"1","cookie","Recipient"
"94",6,1,4,"1","cookie","Sharer"
"95",6,5,1,"1","cookie","Sharer"
"96",8,7,1,"1","cookie","Sharer"
"97",7,7,7,"1","cookie","Recipient"
"98",8,5,3,"1","cookie","Recipient"
"99",10,7,6,"1","cookie","Sharer"
"100",10,6,4,"1","cookie","Recipient"
"101",10,2,3,"5","cookie","Sharer"
"102",5,2,1,"5","cookie","Sharer"
"103",5,6,1,"5","cookie","Recipient"
"104",5,7,1,"5","cookie","Sharer"
"105",9,5,5,"5","cookie","Sharer"
"106",9,4,5,"5","cookie","Sharer"
"107",11,5,5,"5","cookie","Sharer"
"108",7,6,1,"5","cookie","Sharer"
"109",4,7,6,"5","cookie","Sharer"
"110",10,7,5,"5","cookie","Recipient"
"111",9,6,1,"5","cookie","Recipient"
"112",4,6,6,"5","cookie","Sharer"
"113",6,3,2,"5","cookie","Sharer"
"114",8,5,6,"5","cookie","Sharer"
"115",7,5,3,"5","cookie","Recipient"
"116",8,6,2,"5","cookie","Sharer"
"117",7,1,2,"5","cookie","Recipient"
"118",10,4,2,"5","cookie","Recipient"
"119",8,5,6,"5","cookie","Sharer"
"120",5,2,2,"5","cookie","Sharer"
"121",10,4,4,"5","cookie","Sharer"
"122",3,5,1,"5","cookie","Sharer"
"123",10,7,1,"5","cookie","Sharer"
"124",3,2,1,"5","cookie","Recipient"
"125",3,7,6,"5","cookie","Sharer"
"126",11,2,2,"5","cookie","Sharer"
"127",9,2,1,"5","cookie","Sharer"
"128",7,7,7,"5","cookie","Sharer"
"129",8,3,2,"5","cookie","Sharer"
"130",9,2,2,"5","cookie","Sharer"
"131",4,3,1,"5","cookie","Recipient"
"132",12,7,2,"5","cookie","Recipient"
"133",8,6,7,"5","cookie","Sharer"
"134",4,1,2,"5","cookie","Sharer"
"135",3,7,7,"5","cookie","Sharer"
"136",12,6,3,"5","cookie","Sharer"
"137",10,5,1,"5","cookie","Sharer"
"138",9,6,4,"5","cookie","Sharer"
"139",11,6,1,"5","cookie","Recipient"
"140",10,6,5,"5","cookie","Sharer"
"141",9,1,2,"5","cookie","Sharer"
"142",7,5,3,"5","cookie","Sharer"
"143",4,2,2,"5","cookie","Sharer"
"144",7,7,1,"5","cookie","Sharer"
"145",4,6,7,"5","cookie","Sharer"
"146",7,7,7,"5","cookie","Sharer"
"147",6,7,3,"5","cookie","Sharer"
"148",4,7,6,"5","cookie","Recipient"
"149",11,4,4,"5","cookie","Recipient"
"150",3,7,4,"5","cookie","Sharer"
"151",4,3,1,"5","cookie","Sharer"
"152",11,6,5,"5","cookie","Sharer"
"153",8,7,1,"5","cookie","Sharer"
"154",6,5,6,"5","cookie","Recipient"
"155",7,3,1,"5","cookie","Sharer"
"156",10,6,7,"5","cookie","Sharer"
"157",4,6,2,"5","cookie","Sharer"
"158",5,2,1,"5","cookie","Sharer"
"159",3,4,4,"5","cookie","Sharer"
"160",7,5,1,"5","cookie","Sharer"
"161",4,2,2,"5","cookie","Sharer"
"162",11,6,2,"5","cookie","Sharer"
"163",7,5,5,"5","cookie","Sharer"
"164",5,5,7,"5","cookie","Sharer"
"165",6,7,3,"5","cookie","Sharer"
"166",5,6,7,"5","cookie","Sharer"
"167",11,5,1,"5","cookie","Recipient"
"168",6,2,2,"5","cookie","Sharer"
"169",9,5,6,"5","cookie","Sharer"
"170",9,6,3,"5","cookie","Sharer"
"171",5,2,1,"5","cookie","Recipient"
"172",8,5,6,"5","cookie","Sharer"
"173",7,7,7,"5","cookie","Recipient"
"174",10,6,3,"5","cookie","Sharer"
"175",10,1,2,"5","cookie","Sharer"
"176",5,6,2,"5","cookie","Sharer"
"177",11,5,2,"5","cookie","Recipient"
"178",9,1,2,"5","cookie","Recipient"
"179",9,2,3,"5","cookie","Sharer"
"180",4,5,6,"5","cookie","Sharer"
"181",7,2,3,"5","cookie","Sharer"
"182",6,3,1,"5","cookie","Sharer"
"183",7,7,3,"5","cookie","Sharer"
"184",7,1,1,"5","cookie","Sharer"
"185",4,1,3,"5","cookie","Recipient"
"186",8,5,2,"5","cookie","Sharer"
"187",9,6,2,"5","cookie","Recipient"
"188",7,5,1,"5","cookie","Recipient"
"189",4,1,3,"5","cookie","Sharer"
"190",6,7,6,"5","cookie","Sharer"
"191",7,6,5,"5","cookie","Sharer"
"192",10,4,1,"5","cookie","Sharer"
"193",8,7,6,"5","cookie","Recipient"
"194",9,6,1,"5","cookie","Sharer"
"195",10,5,2,"5","cookie","Sharer"
"196",3,1,2,"5","cookie","Sharer"
"197",7,3,1,"5","cookie","Sharer"
"198",9,6,7,"5","cookie","Sharer"
"199",12,3,2,"5","cookie","Sharer"
"200",9,5,5,"5","cookie","Sharer"
"201",10,3,2,"1","broccoli","Sharer"
"202",4,3,2,"1","broccoli","Recipient"
"203",12,2,2,"1","broccoli","Recipient"
"204",8,5,5,"1","broccoli","Sharer"
"205",8,6,7,"1","broccoli","Sharer"
"206",12,1,1,"1","broccoli","Recipient"
"207",3,5,1,"1","broccoli","Recipient"
"208",6,3,3,"1","broccoli","Recipient"
"209",9,6,3,"1","broccoli","Recipient"
"210",4,1,1,"1","broccoli","Recipient"
"211",9,6,2,"1","broccoli","Recipient"
"212",5,7,6,"1","broccoli","Recipient"
"213",6,6,3,"1","broccoli","Recipient"
"214",7,2,1,"1","broccoli","Recipient"
"215",4,5,7,"1","broccoli","Recipient"
"216",10,1,2,"1","broccoli","Recipient"
"217",5,7,2,"1","broccoli","Sharer"
"218",8,7,7,"1","broccoli","Recipient"
"219",11,2,3,"1","broccoli","Recipient"
"220",6,7,3,"1","broccoli","Recipient"
"221",9,6,6,"1","broccoli","Sharer"
"222",12,5,5,"1","broccoli","Recipient"
"223",8,7,2,"1","broccoli","Recipient"
"224",10,1,1,"1","broccoli","Recipient"
"225",11,1,2,"1","broccoli","Sharer"
"226",10,3,4,"1","broccoli","Recipient"
"227",4,7,5,"1","broccoli","Sharer"
"228",6,1,2,"1","broccoli","Sharer"
"229",8,1,3,"1","broccoli","Recipient"
"230",10,3,2,"1","broccoli","Recipient"
"231",9,1,4,"1","broccoli","Recipient"
"232",7,7,5,"1","broccoli","Recipient"
"233",7,7,1,"1","broccoli","Recipient"
"234",4,6,7,"1","broccoli","Recipient"
"235",5,6,2,"1","broccoli","Recipient"
"236",10,5,2,"1","broccoli","Sharer"
"237",9,3,3,"1","broccoli","Recipient"
"238",8,6,3,"1","broccoli","Recipient"
"239",10,6,6,"1","broccoli","Recipient"
"240",5,7,3,"1","broccoli","Recipient"
"241",5,3,4,"1","broccoli","Recipient"
"242",4,7,5,"1","broccoli","Recipient"
"243",11,5,5,"1","broccoli","Recipient"
"244",3,5,2,"1","broccoli","Recipient"
"245",11,2,1,"1","broccoli","Sharer"
"246",6,2,3,"1","broccoli","Sharer"
"247",9,6,3,"1","broccoli","Recipient"
"248",5,1,1,"1","broccoli","Recipient"
"249",7,3,1,"1","broccoli","Recipient"
"250",10,6,2,"1","broccoli","Recipient"
"251",10,5,6,"1","broccoli","Recipient"
"252",8,6,1,"1","broccoli","Recipient"
"253",4,7,2,"1","broccoli","Recipient"
"254",6,4,6,"1","broccoli","Sharer"
"255",7,7,1,"1","broccoli","Recipient"
"256",8,6,7,"1","broccoli","Recipient"
"257",7,6,6,"1","broccoli","Recipient"
"258",8,4,7,"1","broccoli","Recipient"
"259",9,1,2,"1","broccoli","Recipient"
"260",8,7,4,"1","broccoli","Recipient"
"261",10,6,4,"1","broccoli","Recipient"
"262",9,3,3,"1","broccoli","Recipient"
"263",6,5,2,"1","broccoli","Sharer"
"264",4,2,2,"1","broccoli","Recipient"
"265",5,3,2,"1","broccoli","Recipient"
"266",7,7,4,"1","broccoli","Recipient"
"267",10,4,3,"1","broccoli","Recipient"
"268",8,5,2,"1","broccoli","Recipient"
"269",5,6,6,"1","broccoli","Recipient"
"270",10,2,2,"1","broccoli","Sharer"
"271",10,5,3,"1","broccoli","Recipient"
"272",4,6,6,"1","broccoli","Recipient"
"273",8,1,2,"1","broccoli","Recipient"
"274",9,7,1,"1","broccoli","Recipient"
"275",12,7,1,"1","broccoli","Recipient"
"276",6,7,5,"1","broccoli","Recipient"
"277",8,6,6,"1","broccoli","Sharer"
"278",8,1,2,"1","broccoli","Recipient"
"279",5,5,7,"1","broccoli","Recipient"
"280",9,3,1,"1","broccoli","Recipient"
"281",5,2,2,"1","broccoli","Sharer"
"282",9,6,1,"1","broccoli","Recipient"
"283",7,3,1,"1","broccoli","Recipient"
"284",11,6,5,"1","broccoli","Sharer"
"285",6,5,7,"1","broccoli","Recipient"
"286",5,7,6,"1","broccoli","Recipient"
"287",7,6,6,"1","broccoli","Sharer"
"288",7,6,7,"1","broccoli","Recipient"
"289",6,2,1,"1","broccoli","Recipient"
"290",9,5,7,"1","broccoli","Sharer"
"291",4,3,2,"1","broccoli","Recipient"
"292",5,7,2,"1","broccoli","Recipient"
"293",9,7,5,"1","broccoli","Sharer"
"294",10,6,3,"1","broccoli","Recipient"
"295",6,7,2,"1","broccoli","Recipient"
"296",10,1,3,"1","broccoli","Sharer"
"297",11,7,6,"1","broccoli","Recipient"
"298",11,7,4,"1","broccoli","Recipient"
"299",7,1,1,"1","broccoli","Recipient"
"300",6,2,3,"1","broccoli","Recipient"
"301",6,1,1,"5","broccoli","Sharer"
"302",9,1,2,"5","broccoli","Recipient"
"303",10,7,1,"5","broccoli","Recipient"
"304",7,6,3,"5","broccoli","Recipient"
"305",9,5,4,"5","broccoli","Recipient"
"306",3,3,2,"5","broccoli","Sharer"
"307",10,2,2,"5","broccoli","Recipient"
"308",10,5,7,"5","broccoli","Recipient"
"309",3,6,5,"5","broccoli","Recipient"
"310",5,6,4,"5","broccoli","Sharer"
"311",9,6,5,"5","broccoli","Recipient"
"312",12,6,1,"5","broccoli","Recipient"
"313",5,3,3,"5","broccoli","Sharer"
"314",11,3,4,"5","broccoli","Recipient"
"315",6,3,4,"5","broccoli","Recipient"
"316",11,4,5,"5","broccoli","Recipient"
"317",4,6,4,"5","broccoli","Sharer"
"318",5,6,5,"5","broccoli","Sharer"
"319",4,6,3,"5","broccoli","Sharer"
"320",7,5,7,"5","broccoli","Recipient"
"321",3,5,1,"5","broccoli","Sharer"
"322",6,1,2,"5","broccoli","Recipient"
"323",10,7,2,"5","broccoli","Recipient"
"324",4,5,2,"5","broccoli","Sharer"
"325",6,5,3,"5","broccoli","Recipient"
"326",8,1,5,"5","broccoli","Sharer"
"327",9,4,3,"5","broccoli","Recipient"
"328",8,3,1,"5","broccoli","Recipient"
"329",8,1,3,"5","broccoli","Recipient"
"330",4,5,2,"5","broccoli","Sharer"
"331",10,7,5,"5","broccoli","Recipient"
"332",7,3,1,"5","broccoli","Recipient"
"333",10,7,3,"5","broccoli","Recipient"
"334",7,1,1,"5","broccoli","Recipient"
"335",4,7,6,"5","broccoli","Recipient"
"336",12,3,2,"5","broccoli","Recipient"
"337",12,4,2,"5","broccoli","Recipient"
"338",7,1,2,"5","broccoli","Recipient"
"339",10,7,1,"5","broccoli","Recipient"
"340",6,1,1,"5","broccoli","Recipient"
"341",8,7,2,"5","broccoli","Recipient"
"342",9,7,5,"5","broccoli","Recipient"
"343",9,6,2,"5","broccoli","Recipient"
"344",5,5,1,"5","broccoli","Sharer"
"345",9,2,3,"5","broccoli","Sharer"
"346",11,1,1,"5","broccoli","Recipient"
"347",9,7,7,"5","broccoli","Recipient"
"348",10,5,6,"5","broccoli","Recipient"
"349",4,3,2,"5","broccoli","Sharer"
"350",7,6,7,"5","broccoli","Recipient"
"351",11,7,6,"5","broccoli","Recipient"
"352",6,7,6,"5","broccoli","Recipient"
"353",8,7,4,"5","broccoli","Recipient"
"354",11,1,2,"5","broccoli","Recipient"
"355",8,5,7,"5","broccoli","Recipient"
"356",9,2,1,"5","broccoli","Recipient"
"357",9,6,5,"5","broccoli","Recipient"
"358",4,2,1,"5","broccoli","Sharer"
"359",9,6,2,"5","broccoli","Recipient"
"360",10,1,2,"5","broccoli","Recipient"
"361",12,1,2,"5","broccoli","Recipient"
"362",4,7,7,"5","broccoli","Sharer"
"363",11,2,3,"5","broccoli","Sharer"
"364",7,3,4,"5","broccoli","Recipient"
"365",12,5,1,"5","broccoli","Recipient"
"366",3,4,2,"5","broccoli","Sharer"
"367",11,1,3,"5","broccoli","Recipient"
"368",7,7,4,"5","broccoli","Recipient"
"369",5,3,2,"5","broccoli","Sharer"
"370",10,4,3,"5","broccoli","Recipient"
"371",7,6,5,"5","broccoli","Sharer"
"372",8,7,5,"5","broccoli","Recipient"
"373",10,7,3,"5","broccoli","Recipient"
"374",7,5,1,"5","broccoli","Recipient"
"375",5,5,6,"5","broccoli","Sharer"
"376",5,6,5,"5","broccoli","Sharer"
"377",9,5,3,"5","broccoli","Recipient"
"378",11,2,1,"5","broccoli","Recipient"
"379",3,6,1,"5","broccoli","Sharer"
"380",6,1,3,"5","broccoli","Sharer"
"381",9,3,1,"5","broccoli","Recipient"
"382",6,7,1,"5","broccoli","Recipient"
"383",12,1,3,"5","broccoli","Recipient"
"384",9,7,3,"5","broccoli","Recipient"
"385",11,1,3,"5","broccoli","Recipient"
"386",5,2,3,"5","broccoli","Sharer"
"387",11,1,4,"5","broccoli","Recipient"
"388",7,6,7,"5","broccoli","Recipient"
"389",7,5,6,"5","broccoli","Recipient"
"390",11,3,3,"5","broccoli","Recipient"
"391",7,6,2,"5","broccoli","Recipient"
"392",5,2,3,"5","broccoli","Sharer"
"393",8,1,1,"5","broccoli","Recipient"
"394",6,6,7,"5","broccoli","Recipient"
"395",4,7,3,"5","broccoli","Sharer"
"396",11,7,2,"5","broccoli","Recipient"
"397",8,3,3,"5","broccoli","Recipient"
"398",9,1,2,"5","broccoli","Sharer"
"399",11,5,6,"5","broccoli","Recipient"
"400",3,5,2,"5","broccoli","Sharer"
