"PIN","sex","poliParty","age","repubTrust","repubFriendly","repubAgg","demTrust","demFriendly","demAgg"
117,"male","dem",26,2,1,5,5,7,1
118,"male","repub",42,5,7,1,1,1,5
119,"male","dem",50,2,1,5,5,6,1
120,"male","repub",65,4,7,1,3,2,5
121,"male","dem",14,2,1,6,5,7,1
122,"male","repub",25,5,6,1,2,1,5
123,"male","dem",43,2,2,5,5,7,1
124,"male","repub",64,5,7,2,2,1,5
125,"male","dem",16,1,1,5,5,7,2
126,"male","repub",45,5,7,1,2,1,5
127,"male","dem",54,1,1,5,6,7,1
128,"male","repub",67,5,7,2,2,1,5
129,"male","dem",19,1,1,4,4,7,1
130,"male","repub",33,5,7,1,2,1,6
131,"male","dem",49,2,2,5,6,6,2
132,"male","repub",72,5,7,2,3,2,4
133,"male","dem",21,1,2,5,5,7,1
134,"male","repub",39,5,7,1,1,1,4
135,"male","dem",58,2,1,4,4,7,1
136,"male","repub",61,5,7,2,2,2,4
137,"male","dem",21,3,1,5,6,7,2
138,"male","repub",37,4,6,1,2,2,5
139,"male","dem",48,1,1,5,5,7,2
140,"male","repub",67,6,7,2,3,1,4
141,"male","dem",23,1,1,4,5,7,2
142,"male","repub",31,5,7,2,2,2,4
143,"male","dem",53,3,2,4,4,7,1
144,"male","repub",57,5,7,2,2,2,5
145,"male","dem",19,2,1,5,4,7,1
146,"male","repub",34,4,7,3,2,1,5
147,"male","dem",54,2,1,6,5,7,2
148,"male","repub",69,6,7,2,2,1,5
149,"male","dem",17,2,2,6,5,7,1
150,"male","repub",29,4,7,1,2,2,5
151,"male","dem",51,2,1,5,5,7,2
152,"male","repub",70,5,7,1,3,2,4
153,"male","dem",30,2,1,5,6,7,2
154,"male","repub",31,5,6,1,2,2,5
155,"male","dem",46,2,2,5,5,7,2
156,"male","repub",61,5,7,2,2,2,6
157,"male","dem",25,1,1,5,5,7,1
158,"male","repub",29,5,7,1,1,1,4
159,"male","dem",41,2,2,5,5,6,1
160,"male","repub",64,5,6,2,3,2,5
161,"male","dem",24,1,1,4,5,7,1
162,"male","repub",39,4,7,1,2,1,5
163,"male","dem",48,2,2,4,5,7,2
164,"male","repub",68,5,5,2,3,2,6
165,"male","dem",19,1,1,4,6,7,1
166,"male","repub",29,6,6,1,3,1,6
167,"male","dem",46,2,2,4,5,7,1
168,"male","repub",70,5,7,1,2,2,5
169,"male","dem",13,2,1,4,4,7,1
170,"male","repub",34,5,7,2,2,2,5
171,"male","dem",57,2,1,5,6,7,2
172,"male","repub",60,5,7,1,2,2,5
173,"male","dem",22,1,1,5,5,7,1
174,"male","repub",29,6,7,1,2,1,5
175,"male","dem",49,2,1,5,6,7,1
176,"male","repub",73,4,7,2,2,2,5
177,"male","dem",22,1,2,5,4,7,1
178,"male","repub",36,5,7,2,2,1,5
179,"male","dem",54,3,1,4,5,7,2
180,"male","repub",65,5,6,2,2,2,6
181,"male","dem",22,2,1,6,4,7,2
182,"male","repub",28,5,6,1,2,1,5
183,"male","dem",52,2,2,5,6,7,2
184,"male","repub",70,5,7,2,2,1,5
185,"male","dem",9,2,1,5,5,7,2
186,"male","repub",36,5,7,2,2,2,6
187,"male","dem",54,2,2,5,5,7,2
188,"male","repub",73,5,7,2,1,3,4
189,"male","dem",23,1,1,5,6,7,1
190,"male","repub",38,5,6,1,1,1,5
191,"male","dem",55,4,2,5,5,7,3
192,"male","repub",67,5,6,1,2,2,6
193,"male","dem",24,2,1,5,5,7,2
194,"male","repub",22,4,7,1,2,1,5
195,"male","dem",49,3,1,5,5,7,1
196,"male","repub",67,5,7,2,2,1,5
197,"male","dem",21,3,1,5,5,7,2
198,"male","repub",42,5,7,2,1,2,5
199,"male","dem",54,2,1,5,6,7,2
200,"male","repub",63,4,7,2,2,2,5
